group_size;enemyCount;hasCircle;stratName;friendlyCasts0;friendlyCasts1;friendlyCasts2;friendlyCasts3;friendlyCasts4;friendlyCasts5;enemyCasts0;enemyCasts1;enemyCasts2;enemyCasts3;enemyCasts4;enemyCasts5;ticksPerSecond;friendlyTicksPerTime;enemyTicksPerTime
5;4;1;ONESTACKENEMYFIRST;129;7;26;9;32;23;69;6;18;15;31;35;4.52451;2.33734;2.18717
5;4;1;ONESTACKENEMY;0;0;0;0;0;0;259;12;13;36;18;62;4.60091;2.23563;2.36528
5;4;1;ONESTACKFRIENDLY;277;10;17;25;38;33;0;0;0;0;0;0;4.66812;2.50395;2.16417
5;4;1;TWOSTACKS;290;50;0;0;0;0;11;49;0;0;0;0;4.95375;2.61249;2.34126
5;4;1;TWOSTACKSENEMYFIRST;44;55;0;0;0;0;243;58;0;0;0;0;4.90457;2.44594;2.45863
5;4;1;TWOSTACKSENEMY;289;30;79;1;1;0;0;0;0;0;0;0;4.85974;2.57739;2.28235
5;4;1;TWOSTACKSFRIENDLY;0;0;0;0;0;0;323;59;5;3;5;5;4.67486;2.29295;2.38191
5;4;1;THREESTACKS;152;22;90;0;0;0;16;18;102;0;0;0;4.57345;2.35319;2.22026
5;4;1;THREESTACKSENEMYFIRST;29;21;114;0;0;0;116;18;102;0;0;0;4.37812;2.20298;2.17514
5;4;1;THREESTACKSENEMY;300;30;64;2;3;1;0;0;0;0;0;0;4.99312;2.63228;2.36084
5;4;1;THREESTACKSFRIENDLY;0;0;0;0;0;0;282;39;63;5;2;9;4.73713;2.30816;2.42897
5;4;1;LOWEST;86;17;64;67;0;0;4;15;55;92;0;0;4.49929;2.31139;2.1879
5;4;1;LOWESTENEMYFIRST;10;16;67;71;0;0;65;12;52;107;0;0;4.55411;2.2956;2.25851
5;4;1;LOWESTENEMY;240;16;79;65;0;0;0;0;0;0;0;0;4.81372;2.57637;2.23735
5;4;1;LOWESTFRIENDLY;0;0;0;0;0;0;236;11;51;99;0;3;4.72904;2.30711;2.42193
5;5;1;FOCUSFRIENDLY;272;19;16;31;31;31;0;0;0;0;0;0;4.69351;2.49586;2.19765
5;5;1;FOCUSENEMY;0;0;0;0;0;0;249;16;17;27;46;45;4.91173;2.33563;2.5761
5;5;1;RANDOM;373;0;0;0;0;0;27;0;0;0;0;0;5.22227;2.7024;2.51987
